"Playlist Date","Playlist Title","DJ Name",Time,Artist,Song,Release,New,Genre,Label
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:56:43 PM","Strict Face",Fountains,"Fountains / Highbury Skyline - Single",,Electronic,"Gobstopper Records"
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:49:58 PM","Grrrl Gang","The Star",Spunky!,,Alternative,"Trapped Animal"
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:46:25 PM",Razteria,Mientras,"Tocar las Estrellas",N,Alternative,"Asteria Records"
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:41:53 PM","Slauson Malone 1","Decades, Castle Romeo",EXCELSIOR,N,Electronic,"Warp Records"
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:32:36 PM","Blood Orange","Hope (feat. Puff Daddy & Tei Shi)","Negro Swan",,Alternative,"Domino Recording Co"
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:26:32 PM",Efterklang,Swarming,"Swarming - EP",,Electronic,"The Leaf Label"
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:24:45 PM","Alex G",Skipper,DSU,,Alternative,"Lucky Number Music"
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:14:30 PM",Sadie,"Another Light","Tides - EP",N,Alternative,sadieworld
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:11:12 PM",yeule,"cyber meat",softscars,N,Alternative,"Ninja Tune"
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:09:10 PM","Cowgirl Clue","Hometown Hero","Rodeo Star",N,,"Vada Vada"
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:05:19 PM","Fever Ray","An Itch",Plunge,,Alternative,etcetc
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:01:00 PM","Sen Morimoto","What You Say",Diagnosis,N,Alternative,"City Slang"
